timestamp,symbol,direction,entry,sl,tp1,tp2,tp3,score,grade,rr,adx,rsi,rel_volume,spike_tier,mtf_status,btc_regime,rs_label,funding_pct,oi_signal,beta_label,status
2026-07-01T19:08:42.366726+00:00,BAND/USDT:USDT,LONG,0.1478,0.14499009,0.15482477,0.15903963,0.16465944,94.8,A,2.5,36.39,58.59,1.46,NORMAL,ALLOWED,BULL,STRONG,0.01,NEUTRAL,N/A,TP1_HIT
2026-07-01T19:08:42.857353+00:00,GRASS/USDT:USDT,LONG,0.50638,0.49252819,0.54100953,0.56178725,0.58949088,88.16,A,2.5,35.42,62.88,1.51,ELEVATED,ALLOWED,BULL,STRONG,0.005,NEUTRAL,N/A,SL_HIT
2026-07-01T20:54:46.329854+00:00,AEVO/USDT:USDT,LONG,0.01945,0.01902639,0.02050901,0.02114442,0.02199163,89.6,A,2.5,36.5,57.88,1.13,NORMAL,ALLOWED,BULL,STRONG,0.005,NEUTRAL,N/A,SL_HIT
2026-07-01T20:54:46.798167+00:00,RAY/USDT:USDT,LONG,0.6435,0.63415521,0.66686197,0.68087915,0.69956872,88.57,A,2.5,25.48,57.68,1.48,NORMAL,ALLOWED,BULL,STRONG,0.005,NEUTRAL,N/A,TP1_HIT
2026-07-01T20:54:47.280710+00:00,MINA/USDT:USDT,LONG,0.04017,0.03958491,0.04163272,0.04251035,0.04368053,88.14,A,2.5,31.7,61.4,1.3,NORMAL,ALLOWED,BULL,STRONG,0.0088,NEUTRAL,N/A,TP1_HIT
2026-07-01T22:16:21.407562+00:00,KSM/USDT:USDT,LONG,3.126,3.09385017,3.20637456,3.2545993,3.31889895,83.64,A,2.5,25.57,62.87,1.33,NORMAL,ALLOWED,BULL,STRONG,-0.0149,NEUTRAL,N/A,SL_HIT
2026-07-01T22:16:21.954109+00:00,VIRTUAL/USDT:USDT,LONG,0.5569,0.54852404,0.57783991,0.59040386,0.60715579,79.07,B,2.5,30.25,64.83,1.48,NORMAL,ALLOWED,BULL,STRONG,0.005,NEUTRAL,N/A,SL_HIT
2026-07-01T22:16:22.498897+00:00,FLUX/USDT:USDT,LONG,0.04487,0.04420144,0.04654141,0.04754425,0.04888138,78.65,B,2.5,29.96,63.08,1.21,NORMAL,ALLOWED,BULL,STRONG,0.005,NEUTRAL,N/A,TP1_HIT
2026-07-01T23:48:35.561600+00:00,CTSI/USDT:USDT,LONG,0.02271,0.02225862,0.02383846,0.02451554,0.02541831,90.98,A,2.5,37.33,55.68,1.02,NORMAL,ALLOWED,BULL,STRONG,0.01,NEUTRAL,N/A,TP1_HIT
2026-07-01T23:48:36.384407+00:00,NMR/USDT:USDT,LONG,9.471,9.32551389,9.83471527,10.05294444,10.34391665,84.64,A,2.5,43.54,61.79,1.02,NORMAL,ALLOWED,BULL,STRONG,0.005,NEUTRAL,N/A,SL_HIT
2026-07-01T23:48:37.047916+00:00,HBAR/USDT:USDT,LONG,0.07209,0.07126602,0.07414995,0.07538592,0.07703388,88.37,A,2.5,33.33,61.84,1.46,NORMAL,ALLOWED,BULL,STRONG,0.01,NEUTRAL,N/A,TP1_HIT
2026-07-02T01:54:51.158063+00:00,COOKIE/USDT:USDT,LONG,0.00954,0.0091703,0.01046424,0.01101878,0.01175817,91.86,A,2.5,31.86,57.33,1.81,ELEVATED,ALLOWED,BULL,STRONG,0.005,NEUTRAL,N/A,SL_HIT
2026-07-02T01:54:51.627648+00:00,SAFE/USDT:USDT,LONG,0.0871,0.08570364,0.09059089,0.09268543,0.09547814,88.36,A,2.5,34.09,56.87,1.33,NORMAL,ALLOWED,BULL,STRONG,0.005,NEUTRAL,N/A,TP1_HIT
2026-07-02T01:54:52.111970+00:00,CELR/USDT:USDT,LONG,0.001943,0.00191917,0.00200257,0.00203832,0.00208598,84.14,A,2.5,26.36,61.27,1.67,ELEVATED,ALLOWED,BULL,STRONG,0.01,NEUTRAL,N/A,SL_HIT
2026-07-02T05:55:52.689839+00:00,CHR/USDT:USDT,LONG,0.01511,0.01484306,0.01577735,0.01617776,0.01671164,88.26,A,2.5,42.37,63.67,1.44,NORMAL,ALLOWED,BULL,STRONG,0.01,NEUTRAL,N/A,TP1_HIT
2026-07-02T05:55:53.345897+00:00,COMP/USDT:USDT,LONG,15.79,15.61959001,16.21602498,16.47163997,16.81245996,93.78,A,2.5,26.2,58.68,1.62,ELEVATED,ALLOWED,BULL,STRONG,0.01,NEUTRAL,N/A,TP1_HIT
2026-07-02T05:55:54.045388+00:00,ASTR/USDT:USDT,LONG,0.005045,0.00499695,0.00516513,0.00523721,0.00533332,93.27,A,2.5,28.57,62.27,1.94,ELEVATED,ALLOWED,BULL,STRONG,0.01,NEUTRAL,N/A,TP1_HIT
2026-07-02T08:54:14.624912+00:00,SONIC/USDT:USDT,LONG,0.02569,0.02512362,0.02710594,0.0279555,0.02908825,93.69,A,2.5,40.34,59.45,1.94,ELEVATED,ALLOWED,BULL,STRONG,0.005,NEUTRAL,N/A,TP1_HIT
2026-07-02T08:54:15.158333+00:00,ACH/USDT:USDT,LONG,0.004426,0.00436552,0.0045772,0.00466791,0.00478887,97.17,S,2.5,35.56,58.48,1.08,NORMAL,ALLOWED,BULL,STRONG,0.01,NEUTRAL,N/A,SL_HIT
2026-07-02T08:54:15.639782+00:00,AUCTION/USDT:USDT,LONG,3.254,3.2312529,3.31086775,3.3449884,3.39048261,85.22,A,2.5,34.6,63.15,1.28,NORMAL,ALLOWED,BULL,STRONG,0.005,NEUTRAL,N/A,TP2_HIT
2026-07-02T11:29:56.511308+00:00,LUMIA/USDT:USDT,LONG,0.11859,0.11638213,0.12410968,0.12742149,0.13183724,100.0,S,2.5,33.16,56.42,1.24,NORMAL,ALLOWED,BULL,STRONG,0.005,NEUTRAL,N/A,SL_HIT
2026-07-02T11:29:56.981822+00:00,MINA/USDT:USDT,LONG,0.04183,0.04123299,0.04332252,0.04421804,0.04541206,87.88,A,2.5,32.88,65.14,1.32,NORMAL,ALLOWED,BULL,STRONG,0.01,NEUTRAL,N/A,TP1_HIT
2026-07-02T11:29:57.464037+00:00,STORJ/USDT:USDT,LONG,0.07519,0.07423168,0.07758581,0.0790233,0.08093994,90.94,A,2.5,39.93,65.8,1.41,NORMAL,ALLOWED,BULL,STRONG,0.005,NEUTRAL,N/A,TP3_HIT
2026-07-02T13:21:31.999763+00:00,LISTA/USDT:USDT,LONG,0.04805,0.0475736,0.04924101,0.04995561,0.05090842,98.03,S,2.5,27.68,59.85,1.56,ELEVATED,ALLOWED,BULL,STRONG,0.005,NEUTRAL,N/A,TP1_HIT
2026-07-02T13:21:32.669485+00:00,ZETA/USDT:USDT,LONG,0.03632,0.03595439,0.03723404,0.03778246,0.03851369,89.14,A,2.5,27.53,61.74,1.31,NORMAL,ALLOWED,BULL,STRONG,0.005,NEUTRAL,N/A,TP1_HIT
2026-07-02T13:21:33.346710+00:00,BIO/USDT:USDT,LONG,0.0302,0.02966869,0.03152826,0.03232522,0.03338783,87.7,A,2.5,31.63,54.67,1.73,ELEVATED,ALLOWED,BULL,STRONG,0.005,NEUTRAL,N/A,SL_HIT
2026-07-02T15:38:25.806895+00:00,SOL/USDT:USDT,LONG,80.549,79.42336727,83.36308183,85.05153093,87.3027964,89.87,A,2.5,35.21,62.37,1.34,NORMAL,ALLOWED,BULL,STRONG,0.0029,NEUTRAL,N/A,TP1_HIT
2026-07-02T15:38:26.455347+00:00,CRV/USDT:USDT,LONG,0.2057,0.20230415,0.21418962,0.21928339,0.22607509,100.0,S,2.5,33.46,59.1,1.4,NORMAL,ALLOWED,BULL,STRONG,-0.0073,NEUTRAL,N/A,TP1_HIT
2026-07-02T15:38:27.060080+00:00,ZRO/USDT:USDT,LONG,0.8554,0.83726227,0.90074433,0.92795093,0.9642264,94.34,A,2.5,35.74,56.51,1.28,NORMAL,ALLOWED,BULL,STRONG,0.005,NEUTRAL,N/A,TP1_HIT
2026-07-02T17:18:53.243738+00:00,TAO/USDT:USDT,LONG,212.67,209.41278003,220.81304992,225.69887987,232.21331981,92.62,A,2.5,29.39,58.22,1.25,NORMAL,ALLOWED,BULL,STRONG,0.0035,NEUTRAL,N/A,EXPIRED
2026-07-02T17:18:53.871287+00:00,AERO/USDT:USDT,LONG,0.506,0.49687587,0.52881032,0.54249651,0.56074476,88.5,A,2.5,33.02,60.52,1.92,ELEVATED,ALLOWED,BULL,STRONG,0.005,NEUTRAL,N/A,TP1_HIT
2026-07-02T17:18:54.490064+00:00,RENDER/USDT:USDT,LONG,1.5854,1.56304861,1.64127846,1.67480554,1.71950831,88.22,A,2.5,31.24,58.74,1.36,NORMAL,ALLOWED,BULL,STRONG,0.005,NEUTRAL,N/A,EXPIRED
2026-07-03T01:23:16.330990+00:00,SLP/USDT:USDT,LONG,0.0004807,0.00047005,0.00050733,0.00052331,0.00054462,95.24,S,2.5,47.37,54.09,1.55,ELEVATED,CONFIRMED_STRONG,BULL,STRONG,0.005,NEUTRAL,N/A,TP1_HIT
2026-07-03T01:23:16.990036+00:00,RSR/USDT:USDT,LONG,0.001167,0.00115061,0.00120798,0.00123257,0.00126536,97.82,S,2.5,48.05,59.19,1.27,NORMAL,ALLOWED,BULL,STRONG,0.01,NEUTRAL,N/A,TP2_HIT
2026-07-03T01:23:17.665594+00:00,RED/USDT:USDT,LONG,0.0982,0.09609083,0.10347293,0.10663669,0.11085503,93.42,A,2.5,61.8,55.87,1.09,NORMAL,ALLOWED,BULL,STRONG,0.005,NEUTRAL,N/A,EXPIRED
2026-07-03T05:10:26.609254+00:00,LAYER/USDT:USDT,LONG,0.06754,0.06679184,0.06941039,0.07053263,0.07202894,96.36,S,2.5,40.22,59.14,1.34,NORMAL,ALLOWED,BULL,STRONG,0.0042,NEUTRAL,N/A,SL_HIT
2026-07-03T05:10:27.082824+00:00,FLOCK/USDT:USDT,LONG,0.03576,0.03509456,0.03742361,0.03842178,0.03975267,96.07,S,2.5,33.53,56.66,1.08,NORMAL,ALLOWED,BULL,STRONG,0.005,NEUTRAL,N/A,SL_HIT
2026-07-03T05:10:27.557298+00:00,NMR/USDT:USDT,LONG,9.445,9.30628127,9.79179682,9.99987491,10.27731237,85.22,A,2.5,23.86,52.22,1.98,ELEVATED,CONFIRMED,BULL,STRONG,0.005,NEUTRAL,N/A,TP1_HIT
2026-07-03T08:28:24.729998+00:00,WOO/USDT:USDT,LONG,0.01138,0.01130343,0.01157142,0.01168627,0.01183941,86.47,A,2.5,32.77,60.69,1.21,NORMAL,ALLOWED,BULL,NEUTRAL,0.01,NEUTRAL,N/A,TP1_HIT
2026-07-03T11:12:49.204676+00:00,GRIFFAIN/USDT:USDT,LONG,0.00956,0.00940332,0.0099517,0.01018672,0.01050008,83.73,A,2.5,31.61,61.8,1.7,ELEVATED,ALLOWED,BULL,STRONG,0.005,NEUTRAL,N/A,TP1_HIT
2026-07-03T11:12:49.873052+00:00,FET/USDT:USDT,LONG,0.1875,0.18522709,0.19318228,0.19659165,0.20113747,86.44,A,2.5,37.43,60.67,1.2,NORMAL,ALLOWED,BULL,STRONG,0.01,NEUTRAL,N/A,SL_HIT
2026-07-03T13:14:37.874173+00:00,SONIC/USDT:USDT,LONG,0.02703,0.02668716,0.02788709,0.02840134,0.02908702,91.1,A,2.5,44.88,60.97,1.94,ELEVATED,ALLOWED,BULL,STRONG,0.005,NEUTRAL,N/A,SL_HIT
2026-07-03T13:14:38.632185+00:00,CTSI/USDT:USDT,LONG,0.02328,0.0230952,0.02374201,0.02401922,0.02438883,100.0,S,2.5,35.84,57.73,1.06,NORMAL,CONFIRMED,BULL,STRONG,0.01,NEUTRAL,N/A,TP1_HIT
2026-07-03T13:14:39.221122+00:00,EGLD/USDT:USDT,LONG,2.723,2.69898414,2.78303965,2.81906344,2.86709516,78.53,B,2.5,42.85,64.81,1.36,NORMAL,ALLOWED,BULL,STRONG,0.01,NEUTRAL,N/A,SL_HIT
